GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,B18001,B2Y001
"G0500290","1950","Arkansas","050","Conway","0290","Conway","42","290",18137,"Decrease 0% to 19%"
"G0500310","1950","Arkansas","050","Craighead","0310","Craighead","42","310",50613,"Increase 0% to 19%"
"G0500330","1950","Arkansas","050","Crawford","0330","Crawford","42","330",22727,"Decrease 0% to 19%"
"G0500350","1950","Arkansas","050","Crittenden","0350","Crittenden","42","350",47184,"Increase 0% to 19%"
"G0500370","1950","Arkansas","050","Cross","0370","Cross","42","370",24757,"Decrease 0% to 19%"
"G0500390","1950","Arkansas","050","Dallas","0390","Dallas","42","390",12416,"Decrease 0% to 19%"
"G0500410","1950","Arkansas","050","Desha","0410","Desha","42","410",25155,"Decrease 0% to 19%"
"G0500430","1950","Arkansas","050","Drew","0430","Drew","42","430",17959,"Decrease 0% to 19%"
"G0500450","1950","Arkansas","050","Faulkner","0450","Faulkner","42","450",25289,"Decrease 0% to 19%"
"G0500470","1950","Arkansas","050","Franklin","0470","Franklin","42","470",12358,"Decrease 20% to 39%"
"G0500490","1950","Arkansas","050","Fulton","0490","Fulton","42","490",9187,"Decrease 0% to 19%"
"G0500510","1950","Arkansas","050","Garland","0510","Garland","42","510",47102,"Increase 0% to 19%"
"G0500530","1950","Arkansas","050","Grant","0530","Grant","42","530",9024,"Decrease 0% to 19%"
"G0500550","1950","Arkansas","050","Greene","0550","Greene","42","550",29149,"Decrease 0% to 19%"
"G0500570","1950","Arkansas","050","Hempstead","0570","Hempstead","42","570",25080,"Decrease 20% to 39%"
"G0500590","1950","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",22181,"Increase 0% to 19%"
"G0500610","1950","Arkansas","050","Howard","0610","Howard","42","610",13342,"Decrease 0% to 19%"
"G0500630","1950","Arkansas","050","Independence","0630","Independence","42","630",23488,"Decrease 0% to 19%"
"G0500650","1950","Arkansas","050","Izard","0650","Izard","42","650",9953,"Decrease 20% to 39%"
"G0500670","1950","Arkansas","050","Jackson","0670","Jackson","42","670",25912,"Decrease 0% to 19%"
"G0500690","1950","Arkansas","050","Jefferson","0690","Jefferson","42","690",76075,"Increase 0% to 19%"
"G0500710","1950","Arkansas","050","Johnson","0710","Johnson","42","710",16138,"Decrease 0% to 19%"
"G0500730","1950","Arkansas","050","Lafayette","0730","Lafayette","42","730",13203,"Decrease 20% to 39%"
"G0500750","1950","Arkansas","050","Lawrence","0750","Lawrence","42","750",21303,"Decrease 0% to 19%"
"G0500770","1950","Arkansas","050","Lee","0770","Lee","42","770",24322,"Decrease 0% to 19%"
"G0500790","1950","Arkansas","050","Lincoln","0790","Lincoln","42","790",17079,"Decrease 0% to 19%"
"G0500810","1950","Arkansas","050","Little River","0810","Little River","42","810",11690,"Decrease 20% to 39%"
"G0500830","1950","Arkansas","050","Logan","0830","Logan","42","830",20260,"Decrease 20% to 39%"
