GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BDP001,BEQ001
"G0501330","1930","Arkansas","050","Sevier","1330","Sevier","42","1330",16364,16364
"G0501350","1930","Arkansas","050","Sharp","1350","Sharp","42","1350",10715,10715
"G0501370","1930","Arkansas","050","Stone","1370","Stone","42","1370",7993,7993
"G0501390","1930","Arkansas","050","Union","1390","Union","42","1390",55800,55800
"G0501410","1930","Arkansas","050","Van Buren","1410","Van Buren","42","1410",11962,11962
"G0501430","1930","Arkansas","050","Washington","1430","Washington","42","1430",39255,39255
"G0501450","1930","Arkansas","050","White","1450","White","42","1450",38269,38269
"G0501470","1930","Arkansas","050","Woodruff","1470","Woodruff","42","1470",22682,22682
"G0501490","1930","Arkansas","050","Yell","1490","Yell","42","1490",21313,21313
"G0600010","1930","California","060","Alameda","0010","Alameda","71","10",474883,474883
"G0600030","1930","California","060","Alpine","0030","Alpine","71","30",241,241
"G0600050","1930","California","060","Amador","0050","Amador","71","50",8494,8494
"G0600070","1930","California","060","Butte","0070","Butte","71","70",34093,34093
"G0600090","1930","California","060","Calaveras","0090","Calaveras","71","90",6008,6008
"G0600110","1930","California","060","Colusa","0110","Colusa","71","110",10258,10258
"G0600130","1930","California","060","Contra Costa","0130","Contra Costa","71","130",78608,78608
"G0600150","1930","California","060","Del Norte","0150","Del Norte","71","150",4739,4739
"G0600170","1930","California","060","El Dorado","0170","El Dorado","71","170",8325,8325
"G0600190","1930","California","060","Fresno","0190","Fresno","71","190",144379,144379
"G0600210","1930","California","060","Glenn","0210","Glenn","71","210",10935,10935
"G0600230","1930","California","060","Humboldt","0230","Humboldt","71","230",43233,43233
"G0600250","1930","California","060","Imperial","0250","Imperial","71","250",60903,60903
"G0600270","1930","California","060","Inyo","0270","Inyo","71","270",6555,6555
"G0600290","1930","California","060","Kern","0290","Kern","71","290",82570,82570
"G0600310","1930","California","060","Kings","0310","Kings","71","310",25385,25385
"G0600330","1930","California","060","Lake","0330","Lake","71","330",7166,7166
"G0600350","1930","California","060","Lassen","0350","Lassen","71","350",12589,12589
"G0600370","1930","California","060","Los Angeles","0370","Los Angeles","71","370",2208492,2208492
"G0600390","1930","California","060","Madera","0390","Madera","71","390",17164,17164
"G0600410","1930","California","060","Marin","0410","Marin","71","410",41648,41648
"G0600430","1930","California","060","Mariposa","0430","Mariposa","71","430",3233,3233
"G0600450","1930","California","060","Mendocino","0450","Mendocino","71","450",23505,23505
"G0600470","1930","California","060","Merced","0470","Merced","71","470",36748,36748
"G0600490","1930","California","060","Modoc","0490","Modoc","71","490",8038,8038
"G0600510","1930","California","060","Mono","0510","Mono","71","510",1360,1360
"G0600530","1930","California","060","Monterey","0530","Monterey","71","530",53705,53705
"G0600550","1930","California","060","Napa","0550","Napa","71","550",22897,22897
"G0600570","1930","California","060","Nevada","0570","Nevada","71","570",10596,10596
"G0600590","1930","California","060","Orange","0590","Orange","71","590",118674,118674
"G0600610","1930","California","060","Placer","0610","Placer","71","610",24468,24468
"G0600630","1930","California","060","Plumas","0630","Plumas","71","630",7913,7913
"G0600650","1930","California","060","Riverside","0650","Riverside","71","650",81024,81024
"G0600670","1930","California","060","Sacramento","0670","Sacramento","71","670",141999,141999
"G0600690","1930","California","060","San Benito","0690","San Benito","71","690",11311,11311
"G0600710","1930","California","060","San Bernardino","0710","San Bernardino","71","710",133900,133900
"G0600730","1930","California","060","San Diego","0730","San Diego","71","730",209659,209659
"G0600750","1930","California","060","San Francisco","0750","San Francisco","71","750",634394,634394
"G0600770","1930","California","060","San Joaquin","0770","San Joaquin","71","770",102940,102940
"G0600790","1930","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",29613,29613
"G0600810","1930","California","060","San Mateo","0810","San Mateo","71","810",77405,77405
"G0600830","1930","California","060","Santa Barbara","0830","Santa Barbara","71","830",65167,65167
"G0600850","1930","California","060","Santa Clara","0850","Santa Clara","71","850",145118,145118
"G0600870","1930","California","060","Santa Cruz","0870","Santa Cruz","71","870",37433,37433
"G0600890","1930","California","060","Shasta","0890","Shasta","71","890",13927,13927
"G0600910","1930","California","060","Sierra","0910","Sierra","71","910",2422,2422
"G0600930","1930","California","060","Siskiyou","0930","Siskiyou","71","930",25480,25480
"G0600950","1930","California","060","Solano","0950","Solano","71","950",40834,40834
"G0600970","1930","California","060","Sonoma","0970","Sonoma","71","970",62222,62222
"G0600990","1930","California","060","Stanislaus","0990","Stanislaus","71","990",56641,56641
"G0601010","1930","California","060","Sutter","1010","Sutter","71","1010",14618,14618
"G0601030","1930","California","060","Tehama","1030","Tehama","71","1030",13866,13866
"G0601050","1930","California","060","Trinity","1050","Trinity","71","1050",2809,2809
"G0601070","1930","California","060","Tulare","1070","Tulare","71","1070",77442,77442
"G0601090","1930","California","060","Tuolumne","1090","Tuolumne","71","1090",9271,9271
"G0601110","1930","California","060","Ventura","1110","Ventura","71","1110",54976,54976
"G0601130","1930","California","060","Yolo","1130","Yolo","71","1130",23644,23644
"G0601150","1930","California","060","Yuba","1150","Yuba","71","1150",11331,11331
"G0800010","1930","Colorado","080","Adams","0010","Adams","62","10",20245,20245
"G0800030","1930","Colorado","080","Alamosa","0030","Alamosa","62","30",8602,8602
"G0800050","1930","Colorado","080","Arapahoe","0050","Arapahoe","62","50",22647,22647
"G0800070","1930","Colorado","080","Archuleta","0070","Archuleta","62","70",3204,3204
"G0800090","1930","Colorado","080","Baca","0090","Baca","62","90",10570,10570
"G0800110","1930","Colorado","080","Bent","0110","Bent","62","110",9134,9134
"G0800130","1930","Colorado","080","Boulder","0130","Boulder","62","130",32456,32456
"G0800150","1930","Colorado","080","Chaffee","0150","Chaffee","62","150",8126,8126
"G0800170","1930","Colorado","080","Cheyenne","0170","Cheyenne","62","170",3723,3723
"G0800190","1930","Colorado","080","Clear Creek","0190","Clear Creek","62","190",2155,2155
"G0800210","1930","Colorado","080","Conejos","0210","Conejos","62","210",9803,9803
"G0800230","1930","Colorado","080","Costilla","0230","Costilla","62","230",5779,5779
"G0800250","1930","Colorado","080","Crowley","0250","Crowley","62","250",5934,5934
"G0800270","1930","Colorado","080","Custer","0270","Custer","62","270",2124,2124
"G0800290","1930","Colorado","080","Delta","0290","Delta","62","290",14204,14204
"G0800310","1930","Colorado","080","Denver","0310","Denver","62","310",287861,287861
"G0800330","1930","Colorado","080","Dolores","0330","Dolores","62","330",1412,1412
"G0800350","1930","Colorado","080","Douglas","0350","Douglas","62","350",3498,3498
"G0800370","1930","Colorado","080","Eagle","0370","Eagle","62","370",3924,3924
"G0800390","1930","Colorado","080","Elbert","0390","Elbert","62","390",6580,6580
"G0800410","1930","Colorado","080","El Paso","0410","El Paso","62","410",49570,49570
"G0800430","1930","Colorado","080","Fremont","0430","Fremont","62","430",18896,18896
"G0800450","1930","Colorado","080","Garfield","0450","Garfield","62","450",9975,9975
"G0800470","1930","Colorado","080","Gilpin","0470","Gilpin","62","470",1212,1212
"G0800490","1930","Colorado","080","Grand","0490","Grand","62","490",2108,2108
"G0800510","1930","Colorado","080","Gunnison","0510","Gunnison","62","510",5527,5527
"G0800530","1930","Colorado","080","Hinsdale","0530","Hinsdale","62","530",449,449
