GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AYM001,AYU001
"G0501390","1900","Arkansas","050","Union","1390","Union","42","1390",22495,22495
"G0501410","1900","Arkansas","050","Van Buren","1410","Van Buren","42","1410",11220,11220
"G0501430","1900","Arkansas","050","Washington","1430","Washington","42","1430",34256,34256
"G0501450","1900","Arkansas","050","White","1450","White","42","1450",24864,24864
"G0501470","1900","Arkansas","050","Woodruff","1470","Woodruff","42","1470",16304,16304
"G0501490","1900","Arkansas","050","Yell","1490","Yell","42","1490",22750,22750
"G0600010","1900","California","060","Alameda","0010","Alameda","71","10",130197,130197
"G0600030","1900","California","060","Alpine","0030","Alpine","71","30",509,509
"G0600050","1900","California","060","Amador","0050","Amador","71","50",11116,11116
"G0600070","1900","California","060","Butte","0070","Butte","71","70",17117,17117
"G0600090","1900","California","060","Calaveras","0090","Calaveras","71","90",11200,11200
"G0600110","1900","California","060","Colusa","0110","Colusa","71","110",7364,7364
"G0600130","1900","California","060","Contra Costa","0130","Contra Costa","71","130",18046,18046
"G0600150","1900","California","060","Del Norte","0150","Del Norte","71","150",2408,2408
"G0600170","1900","California","060","El Dorado","0170","El Dorado","71","170",8986,8986
"G0600190","1900","California","060","Fresno","0190","Fresno","71","190",37862,37862
"G0600210","1900","California","060","Glenn","0210","Glenn","71","210",5150,5150
"G0600230","1900","California","060","Humboldt","0230","Humboldt","71","230",27104,27104
"G0600270","1900","California","060","Inyo","0270","Inyo","71","270",4377,4377
"G0600290","1900","California","060","Kern","0290","Kern","71","290",16480,16480
"G0600310","1900","California","060","Kings","0310","Kings","71","310",9871,9871
"G0600330","1900","California","060","Lake","0330","Lake","71","330",6017,6017
"G0600350","1900","California","060","Lassen","0350","Lassen","71","350",4511,4511
"G0600370","1900","California","060","Los Angeles","0370","Los Angeles","71","370",170298,170298
"G0600390","1900","California","060","Madera","0390","Madera","71","390",6364,6364
"G0600410","1900","California","060","Marin","0410","Marin","71","410",15702,15702
"G0600430","1900","California","060","Mariposa","0430","Mariposa","71","430",4720,4720
"G0600450","1900","California","060","Mendocino","0450","Mendocino","71","450",20465,20465
"G0600470","1900","California","060","Merced","0470","Merced","71","470",9215,9215
