GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7L001,A81001
"G0500850","1920","Arkansas","050","Lonoke","0850","Lonoke","42","850",33400,33400
"G0500870","1920","Arkansas","050","Madison","0870","Madison","42","870",14918,14918
"G0500890","1920","Arkansas","050","Marion","0890","Marion","42","890",10154,10154
"G0500910","1920","Arkansas","050","Miller","0910","Miller","42","910",24021,24021
"G0500930","1920","Arkansas","050","Mississippi","0930","Mississippi","42","930",47320,47320
"G0500950","1920","Arkansas","050","Monroe","0950","Monroe","42","950",21601,21601
"G0500970","1920","Arkansas","050","Montgomery","0970","Montgomery","42","970",11112,11112
"G0500990","1920","Arkansas","050","Nevada","0990","Nevada","42","990",21934,21934
"G0501010","1920","Arkansas","050","Newton","1010","Newton","42","1010",11199,11199
"G0501030","1920","Arkansas","050","Ouachita","1030","Ouachita","42","1030",20636,20636
"G0501050","1920","Arkansas","050","Perry","1050","Perry","42","1050",9905,9905
"G0501070","1920","Arkansas","050","Phillips","1070","Phillips","42","1070",44530,44530
"G0501090","1920","Arkansas","050","Pike","1090","Pike","42","1090",12397,12397
"G0501110","1920","Arkansas","050","Poinsett","1110","Poinsett","42","1110",20848,20848
"G0501130","1920","Arkansas","050","Polk","1130","Polk","42","1130",16412,16412
"G0501150","1920","Arkansas","050","Pope","1150","Pope","42","1150",27153,27153
"G0501170","1920","Arkansas","050","Prairie","1170","Prairie","42","1170",17447,17447
"G0501190","1920","Arkansas","050","Pulaski","1190","Pulaski","42","1190",109464,109464
"G0501210","1920","Arkansas","050","Randolph","1210","Randolph","42","1210",17713,17713
"G0501230","1920","Arkansas","050","St Francis","1230","St Francis","42","1230",28385,28385
"G0501250","1920","Arkansas","050","Saline","1250","Saline","42","1250",16781,16781
"G0501270","1920","Arkansas","050","Scott","1270","Scott","42","1270",13232,13232
"G0501290","1920","Arkansas","050","Searcy","1290","Searcy","42","1290",14590,14590
"G0501310","1920","Arkansas","050","Sebastian","1310","Sebastian","42","1310",56739,56739
"G0501330","1920","Arkansas","050","Sevier","1330","Sevier","42","1330",18301,18301
"G0501350","1920","Arkansas","050","Sharp","1350","Sharp","42","1350",11132,11132
"G0501370","1920","Arkansas","050","Stone","1370","Stone","42","1370",8779,8779
"G0501390","1920","Arkansas","050","Union","1390","Union","42","1390",29691,29691
