GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A3Y001,A3Y002
"G0501190","1910","Arkansas","050","Pulaski","1190","Pulaski","42","1190",86751,63179
"G0501210","1910","Arkansas","050","Randolph","1210","Randolph","42","1210",18987,17156
"G0501230","1910","Arkansas","050","St Francis","1230","St Francis","42","1230",22548,17157
"G0501250","1910","Arkansas","050","Saline","1250","Saline","42","1250",16657,13122
"G0501270","1910","Arkansas","050","Scott","1270","Scott","42","1270",14302,12134
"G0501290","1910","Arkansas","050","Searcy","1290","Searcy","42","1290",14825,11988
"G0501310","1910","Arkansas","050","Sebastian","1310","Sebastian","42","1310",52278,36935
"G0501330","1910","Arkansas","050","Sevier","1330","Sevier","42","1330",16616,16339
"G0501350","1910","Arkansas","050","Sharp","1350","Sharp","42","1350",11688,12199
"G0501370","1910","Arkansas","050","Stone","1370","Stone","42","1370",8946,8100
"G0501390","1910","Arkansas","050","Union","1390","Union","42","1390",30723,22495
"G0501410","1910","Arkansas","050","Van Buren","1410","Van Buren","42","1410",13509,11220
"G0501430","1910","Arkansas","050","Washington","1430","Washington","42","1430",33889,34256
"G0501450","1910","Arkansas","050","White","1450","White","42","1450",28574,24864
"G0501470","1910","Arkansas","050","Woodruff","1470","Woodruff","42","1470",20049,16304
"G0501490","1910","Arkansas","050","Yell","1490","Yell","42","1490",26323,22750
"G0600010","1910","California","060","Alameda","0010","Alameda","71","10",246131,130197
"G0600030","1910","California","060","Alpine","0030","Alpine","71","30",309,509
"G0600050","1910","California","060","Amador","0050","Amador","71","50",9086,11116
"G0600070","1910","California","060","Butte","0070","Butte","71","70",27301,17117
"G0600090","1910","California","060","Calaveras","0090","Calaveras","71","90",9171,11200
"G0600110","1910","California","060","Colusa","0110","Colusa","71","110",7732,7364
"G0600130","1910","California","060","Contra Costa","0130","Contra Costa","71","130",31674,18046
"G0600150","1910","California","060","Del Norte","0150","Del Norte","71","150",2417,2408
"G0600170","1910","California","060","El Dorado","0170","El Dorado","71","170",7492,8986
"G0600190","1910","California","060","Fresno","0190","Fresno","71","190",75657,37862
"G0600210","1910","California","060","Glenn","0210","Glenn","71","210",7172,5150
"G0600230","1910","California","060","Humboldt","0230","Humboldt","71","230",33857,27104
"G0600250","1910","California","060","Imperial","0250","Imperial","71","250",13591,
"G0600270","1910","California","060","Inyo","0270","Inyo","71","270",6974,4377
"G0600290","1910","California","060","Kern","0290","Kern","71","290",37715,16480
"G0600310","1910","California","060","Kings","0310","Kings","71","310",16230,9871
"G0600330","1910","California","060","Lake","0330","Lake","71","330",5526,6017
"G0600350","1910","California","060","Lassen","0350","Lassen","71","350",4802,4511
"G0600370","1910","California","060","Los Angeles","0370","Los Angeles","71","370",504131,170298
"G0600390","1910","California","060","Madera","0390","Madera","71","390",8368,6364
"G0600410","1910","California","060","Marin","0410","Marin","71","410",25114,15702
"G0600430","1910","California","060","Mariposa","0430","Mariposa","71","430",3956,4720
"G0600450","1910","California","060","Mendocino","0450","Mendocino","71","450",23929,20465
"G0600470","1910","California","060","Merced","0470","Merced","71","470",15148,9215
"G0600490","1910","California","060","Modoc","0490","Modoc","71","490",6191,5076
"G0600510","1910","California","060","Mono","0510","Mono","71","510",2042,2167
"G0600530","1910","California","060","Monterey","0530","Monterey","71","530",24146,19380
"G0600550","1910","California","060","Napa","0550","Napa","71","550",19800,16451
"G0600570","1910","California","060","Nevada","0570","Nevada","71","570",14955,17789
"G0600590","1910","California","060","Orange","0590","Orange","71","590",34436,19696
"G0600610","1910","California","060","Placer","0610","Placer","71","610",18237,15786
"G0600630","1910","California","060","Plumas","0630","Plumas","71","630",5259,4657
"G0600650","1910","California","060","Riverside","0650","Riverside","71","650",34696,17897
"G0600670","1910","California","060","Sacramento","0670","Sacramento","71","670",67806,45915
"G0600690","1910","California","060","San Benito","0690","San Benito","71","690",8041,6633
"G0600710","1910","California","060","San Bernardino","0710","San Bernardino","71","710",56706,27929
"G0600730","1910","California","060","San Diego","0730","San Diego","71","730",61665,
"G0600750","1910","California","060","San Francisco","0750","San Francisco","71","750",416912,342782
"G0600770","1910","California","060","San Joaquin","0770","San Joaquin","71","770",50731,35452
"G0600790","1910","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",19383,16637
"G0600810","1910","California","060","San Mateo","0810","San Mateo","71","810",26585,12094
"G0600830","1910","California","060","Santa Barbara","0830","Santa Barbara","71","830",27738,18934
"G0600850","1910","California","060","Santa Clara","0850","Santa Clara","71","850",83539,60216
"G0600870","1910","California","060","Santa Cruz","0870","Santa Cruz","71","870",26140,21512
"G0600890","1910","California","060","Shasta","0890","Shasta","71","890",18920,17318
"G0600910","1910","California","060","Sierra","0910","Sierra","71","910",4098,4017
"G0600930","1910","California","060","Siskiyou","0930","Siskiyou","71","930",18801,16962
"G0600950","1910","California","060","Solano","0950","Solano","71","950",27559,24143
"G0600970","1910","California","060","Sonoma","0970","Sonoma","71","970",48394,38480
"G0600990","1910","California","060","Stanislaus","0990","Stanislaus","71","990",22522,9550
"G0601010","1910","California","060","Sutter","1010","Sutter","71","1010",6328,5886
"G0601030","1910","California","060","Tehama","1030","Tehama","71","1030",11401,10996
"G0601050","1910","California","060","Trinity","1050","Trinity","71","1050",3301,4383
"G0601070","1910","California","060","Tulare","1070","Tulare","71","1070",35440,18375
"G0601090","1910","California","060","Tuolumne","1090","Tuolumne","71","1090",9979,11166
"G0601110","1910","California","060","Ventura","1110","Ventura","71","1110",18347,14367
"G0601130","1910","California","060","Yolo","1130","Yolo","71","1130",13926,13618
"G0601150","1910","California","060","Yuba","1150","Yuba","71","1150",10042,8620
"G0800010","1910","Colorado","080","Adams","0010","Adams","62","10",8892,
"G0800050","1910","Colorado","080","Arapahoe","0050","Arapahoe","62","50",10263,
"G0800070","1910","Colorado","080","Archuleta","0070","Archuleta","62","70",3302,2117
"G0800090","1910","Colorado","080","Baca","0090","Baca","62","90",2516,759
"G0800110","1910","Colorado","080","Bent","0110","Bent","62","110",5043,3049
"G0800130","1910","Colorado","080","Boulder","0130","Boulder","62","130",30330,21544
"G0800150","1910","Colorado","080","Chaffee","0150","Chaffee","62","150",7622,7085
"G0800170","1910","Colorado","080","Cheyenne","0170","Cheyenne","62","170",3687,501
"G0800190","1910","Colorado","080","Clear Creek","0190","Clear Creek","62","190",5001,7082
"G0800210","1910","Colorado","080","Conejos","0210","Conejos","62","210",11285,8794
"G0800230","1910","Colorado","080","Costilla","0230","Costilla","62","230",5498,4632
"G0800270","1910","Colorado","080","Custer","0270","Custer","62","270",1947,2937
"G0800290","1910","Colorado","080","Delta","0290","Delta","62","290",13688,5487
"G0800310","1910","Colorado","080","Denver","0310","Denver","62","310",213381,
"G0800330","1910","Colorado","080","Dolores","0330","Dolores","62","330",642,1134
"G0800350","1910","Colorado","080","Douglas","0350","Douglas","62","350",3192,3120
"G0800370","1910","Colorado","080","Eagle","0370","Eagle","62","370",2985,3008
"G0800390","1910","Colorado","080","Elbert","0390","Elbert","62","390",5331,3101
"G0800410","1910","Colorado","080","El Paso","0410","El Paso","62","410",43321,31602
"G0800430","1910","Colorado","080","Fremont","0430","Fremont","62","430",18181,15636
"G0800450","1910","Colorado","080","Garfield","0450","Garfield","62","450",10144,5835
"G0800470","1910","Colorado","080","Gilpin","0470","Gilpin","62","470",4131,6690
"G0800490","1910","Colorado","080","Grand","0490","Grand","62","490",1862,741
"G0800510","1910","Colorado","080","Gunnison","0510","Gunnison","62","510",5897,5331
"G0800530","1910","Colorado","080","Hinsdale","0530","Hinsdale","62","530",646,1609
"G0800550","1910","Colorado","080","Huerfano","0550","Huerfano","62","550",13320,8395
"G0800570","1910","Colorado","080","Jackson","0570","Jackson","62","570",1013,
"G0800590","1910","Colorado","080","Jefferson","0590","Jefferson","62","590",14231,9306
"G0800610","1910","Colorado","080","Kiowa","0610","Kiowa","62","610",2899,701
"G0800630","1910","Colorado","080","Kit Carson","0630","Kit Carson","62","630",7483,1580
"G0800650","1910","Colorado","080","Lake","0650","Lake","62","650",10600,18054
"G0800670","1910","Colorado","080","La Plata","0670","La Plata","62","670",10812,7016
"G0800690","1910","Colorado","080","Larimer","0690","Larimer","62","690",25270,11266
"G0800710","1910","Colorado","080","Las Animas","0710","Las Animas","62","710",33643,21842
"G0800730","1910","Colorado","080","Lincoln","0730","Lincoln","62","730",5917,926
"G0800750","1910","Colorado","080","Logan","0750","Logan","62","750",9549,3292
"G0800770","1910","Colorado","080","Mesa","0770","Mesa","62","770",22197,9267
"G0800790","1910","Colorado","080","Mineral","0790","Mineral","62","790",1239,1913
"G0800830","1910","Colorado","080","Montezuma","0830","Montezuma","62","830",5029,3058
"G0800850","1910","Colorado","080","Montrose","0850","Montrose","62","850",10291,4535
"G0800870","1910","Colorado","080","Morgan","0870","Morgan","62","870",9577,3268
"G0800890","1910","Colorado","080","Otero","0890","Otero","62","890",20201,11522
"G0800910","1910","Colorado","080","Ouray","0910","Ouray","62","910",3514,4731
"G0800930","1910","Colorado","080","Park","0930","Park","62","930",2492,2998
"G0800950","1910","Colorado","080","Phillips","0950","Phillips","62","950",3179,1583
"G0800970","1910","Colorado","080","Pitkin","0970","Pitkin","62","970",4566,7020
"G0800990","1910","Colorado","080","Prowers","0990","Prowers","62","990",9520,3766
"G0801010","1910","Colorado","080","Pueblo","1010","Pueblo","62","1010",52223,34448
"G0801030","1910","Colorado","080","Rio Blanco","1030","Rio Blanco","62","1030",2332,1690
"G0801050","1910","Colorado","080","Rio Grande","1050","Rio Grande","62","1050",6563,4080
"G0801070","1910","Colorado","080","Routt","1070","Routt","62","1070",7561,3661
"G0801090","1910","Colorado","080","Saguache","1090","Saguache","62","1090",4160,3853
"G0801110","1910","Colorado","080","San Juan","1110","San Juan","62","1110",3063,2342
"G0801130","1910","Colorado","080","San Miguel","1130","San Miguel","62","1130",4700,5379
"G0801150","1910","Colorado","080","Sedgwick","1150","Sedgwick","62","1150",3061,971
"G0801170","1910","Colorado","080","Summit","1170","Summit","62","1170",2003,2744
"G0801190","1910","Colorado","080","Teller","1190","Teller","62","1190",14351,29002
"G0801210","1910","Colorado","080","Washington","1210","Washington","62","1210",6002,
"G0801230","1910","Colorado","080","Weld","1230","Weld","62","1230",39177,16808
"G0801250","1910","Colorado","080","Yuma","1250","Yuma","62","1250",8499,
"G0900010","1910","Connecticut","090","Fairfield","0010","Fairfield","1","10",245322,184203
"G0900030","1910","Connecticut","090","Hartford","0030","Hartford","1","30",250182,195480
"G0900050","1910","Connecticut","090","Litchfield","0050","Litchfield","1","50",70260,63672
"G0900070","1910","Connecticut","090","Middlesex","0070","Middlesex","1","70",45637,41760
"G0900090","1910","Connecticut","090","New Haven","0090","New Haven","1","90",337282,269163
"G0900110","1910","Connecticut","090","New London","0110","New London","1","110",91253,82758
"G0900130","1910","Connecticut","090","Tolland","0130","Tolland","1","130",26459,24523
"G0900150","1910","Connecticut","090","Windham","0150","Windham","1","150",48361,46861
"G1000010","1910","Delaware","100","Kent","0010","Kent","11","10",32721,32762
"G1000030","1910","Delaware","100","New Castle","0030","New Castle","11","30",123188,109697
"G1000050","1910","Delaware","100","Sussex","0050","Sussex","11","50",46413,42276
"G1100010","1910","District Of Columbia","110","District Of Columbia","0010","District Of Columbia","98","10",331069,278718
"G1200010","1910","Florida","120","Alachua","0010","Alachua","43","10",34305,32245
"G1200030","1910","Florida","120","Baker","0030","Baker","43","30",4805,4516
"G1200070","1910","Florida","120","Bradford","0070","Bradford","43","70",14090,10295
"G1200090","1910","Florida","120","Brevard","0090","Brevard","43","90",4717,3327
"G1200130","1910","Florida","120","Calhoun","0130","Calhoun","43","130",7465,5132
"G1200170","1910","Florida","120","Citrus","0170","Citrus","43","170",6731,5391
"G1200190","1910","Florida","120","Clay","0190","Clay","43","190",6116,5635
"G1200230","1910","Florida","120","Columbia","0230","Columbia","43","230",17689,17094
"G1200250","1910","Florida","120","Dade","0250","Dade","43","250",11933,3888
"G1200270","1910","Florida","120","DeSoto","0270","De Soto","43","270",14200,8047
"G1200310","1910","Florida","120","Duval","0310","Duval","43","310",75163,39733
"G1200330","1910","Florida","120","Escambia","0330","Escambia","43","330",38029,28313
"G1200370","1910","Florida","120","Franklin","0370","Franklin","43","370",5201,4890
"G1200390","1910","Florida","120","Gadsden","0390","Gadsden","43","390",22198,15294
"G1200470","1910","Florida","120","Hamilton","0470","Hamilton","43","470",11825,11881
"G1200530","1910","Florida","120","Hernando","0530","Hernando","43","530",4997,3638
"G1200570","1910","Florida","120","Hillsborough","0570","Hillsborough","43","570",78374,36013
"G1200590","1910","Florida","120","Holmes","0590","Holmes","43","590",11557,7762
"G1200630","1910","Florida","120","Jackson","0630","Jackson","43","630",29821,23377
"G1200650","1910","Florida","120","Jefferson","0650","Jefferson","43","650",17210,16195
"G1200670","1910","Florida","120","Lafayette","0670","Lafayette","43","670",6710,4987
"G1200690","1910","Florida","120","Lake","0690","Lake","43","690",9509,7467
"G1200710","1910","Florida","120","Lee","0710","Lee","43","710",6294,3071
"G1200730","1910","Florida","120","Leon","0730","Leon","43","730",19427,19887
"G1200750","1910","Florida","120","Levy","0750","Levy","43","750",10361,8603
"G1200770","1910","Florida","120","Liberty","0770","Liberty","43","770",4700,2956
"G1200790","1910","Florida","120","Madison","0790","Madison","43","790",16919,15446
"G1200810","1910","Florida","120","Manatee","0810","Manatee","43","810",9550,4663
"G1200830","1910","Florida","120","Marion","0830","Marion","43","830",26941,24403
"G1200870","1910","Florida","120","Monroe","0870","Monroe","43","870",21563,18006
"G1200890","1910","Florida","120","Nassau","0890","Nassau","43","890",10525,9654
"G1200950","1910","Florida","120","Orange","0950","Orange","43","950",19107,11374
"G1200970","1910","Florida","120","Osceola","0970","Osceola","43","970",5507,3444
"G1200990","1910","Florida","120","Palm Beach","0990","Palm Beach","43","990",5577,
"G1201010","1910","Florida","120","Pasco","1010","Pasco","43","1010",7502,6054
"G1201050","1910","Florida","120","Polk","1050","Polk","43","1050",24148,12472
"G1201070","1910","Florida","120","Putnam","1070","Putnam","43","1070",13096,11641
"G1201090","1910","Florida","120","St Johns","1090","St Johns","43","1090",13208,9165
"G1201110","1910","Florida","120","St Lucie","1110","St Lucie","43","1110",4075,1831
"G1201130","1910","Florida","120","Santa Rosa","1130","Santa Rosa","43","1130",14897,10293
"G1201190","1910","Florida","120","Sumter","1190","Sumter","43","1190",6696,6187
"G1201210","1910","Florida","120","Suwannee","1210","Suwannee","43","1210",18603,14554
"G1201230","1910","Florida","120","Taylor","1230","Taylor","43","1230",7103,3999
"G1201270","1910","Florida","120","Volusia","1270","Volusia","43","1270",16510,10003
"G1201290","1910","Florida","120","Wakulla","1290","Wakulla","43","1290",4802,5149
"G1201310","1910","Florida","120","Walton","1310","Walton","43","1310",16460,9346
"G1201330","1910","Florida","120","Washington","1330","Washington","43","1330",16403,10154
"G1300010","1910","Georgia","130","Appling","0010","Appling","44","10",12318,
"G1300070","1910","Georgia","130","Baker","0070","Baker","44","70",7973,6704
"G1300090","1910","Georgia","130","Baldwin","0090","Baldwin","44","90",18354,17768
"G1300110","1910","Georgia","130","Banks","0110","Banks","44","110",11244,10545
"G1300150","1910","Georgia","130","Bartow","0150","Bartow","44","150",25388,20823
"G1300170","1910","Georgia","130","Ben Hill","0170","Ben Hill","44","170",11863,
"G1300190","1910","Georgia","130","Berrien","0190","Berrien","44","190",22772,
"G1300210","1910","Georgia","130","Bibb","0210","Bibb","44","210",56646,50473
"G1300270","1910","Georgia","130","Brooks","0270","Brooks","44","270",23832,18606
"G1300290","1910","Georgia","130","Bryan","0290","Bryan","44","290",6702,6122
"G1300310","1910","Georgia","130","Bulloch","0310","Bulloch","44","310",26464,
"G1300330","1910","Georgia","130","Burke","0330","Burke","44","330",27268,
"G1300350","1910","Georgia","130","Butts","0350","Butts","44","350",13624,12805
"G1300370","1910","Georgia","130","Calhoun","0370","Calhoun","44","370",11334,9274
"G1300390","1910","Georgia","130","Camden","0390","Camden","44","390",7690,7669
"G1300395","1910","Georgia","130","Campbell","0395","Campbell","44","410",10874,9518
"G1300450","1910","Georgia","130","Carroll","0450","Carroll","44","450",30855,26576
"G1300470","1910","Georgia","130","Catoosa","0470","Catoosa","44","470",7184,5823
"G1300490","1910","Georgia","130","Charlton","0490","Charlton","44","490",4722,3592
"G1300510","1910","Georgia","130","Chatham","0510","Chatham","44","510",79690,71239
"G1300530","1910","Georgia","130","Chattahoochee","0530","Chattahoochee","44","530",5586,5790
