GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,B5O001
"G0501050","1960","Arkansas","050","Perry","1050","Perry","42","1050",4927
"G0501070","1960","Arkansas","050","Phillips","1070","Phillips","42","1070",43997
"G0501090","1960","Arkansas","050","Pike","1090","Pike","42","1090",7864
"G0501110","1960","Arkansas","050","Poinsett","1110","Poinsett","42","1110",30834
"G0501130","1960","Arkansas","050","Polk","1130","Polk","42","1130",11981
"G0501150","1960","Arkansas","050","Pope","1150","Pope","42","1150",21177
"G0501170","1960","Arkansas","050","Prairie","1170","Prairie","42","1170",10515
"G0501190","1960","Arkansas","050","Pulaski","1190","Pulaski","42","1190",242980
"G0501210","1960","Arkansas","050","Randolph","1210","Randolph","42","1210",12520
"G0501230","1960","Arkansas","050","St Francis","1230","St Francis","42","1230",33303
"G0501250","1960","Arkansas","050","Saline","1250","Saline","42","1250",28956
"G0501270","1960","Arkansas","050","Scott","1270","Scott","42","1270",7297
"G0501290","1960","Arkansas","050","Searcy","1290","Searcy","42","1290",8124
"G0501310","1960","Arkansas","050","Sebastian","1310","Sebastian","42","1310",66685
"G0501330","1960","Arkansas","050","Sevier","1330","Sevier","42","1330",10156
"G0501350","1960","Arkansas","050","Sharp","1350","Sharp","42","1350",6319
"G0501370","1960","Arkansas","050","Stone","1370","Stone","42","1370",6294
"G0501390","1960","Arkansas","050","Union","1390","Union","42","1390",49518
"G0501410","1960","Arkansas","050","Van Buren","1410","Van Buren","42","1410",7228
"G0501430","1960","Arkansas","050","Washington","1430","Washington","42","1430",55797
"G0501450","1960","Arkansas","050","White","1450","White","42","1450",32745
"G0501470","1960","Arkansas","050","Woodruff","1470","Woodruff","42","1470",13954
"G0501490","1960","Arkansas","050","Yell","1490","Yell","42","1490",11940
"G0600010","1960","California","060","Alameda","0010","Alameda","71","10",908209
"G0600030","1960","California","060","Alpine","0030","Alpine","71","30",397
"G0600050","1960","California","060","Amador","0050","Amador","71","50",9990
"G0600070","1960","California","060","Butte","0070","Butte","71","70",82030
"G0600090","1960","California","060","Calaveras","0090","Calaveras","71","90",10289
"G0600110","1960","California","060","Colusa","0110","Colusa","71","110",12075
"G0600130","1960","California","060","Contra Costa","0130","Contra Costa","71","130",409030
"G0600150","1960","California","060","Del Norte","0150","Del Norte","71","150",17771
"G0600170","1960","California","060","El Dorado","0170","El Dorado","71","170",29390
"G0600190","1960","California","060","Fresno","0190","Fresno","71","190",365945
"G0600210","1960","California","060","Glenn","0210","Glenn","71","210",17245
"G0600230","1960","California","060","Humboldt","0230","Humboldt","71","230",104892
"G0600250","1960","California","060","Imperial","0250","Imperial","71","250",72105
"G0600270","1960","California","060","Inyo","0270","Inyo","71","270",11684
"G0600290","1960","California","060","Kern","0290","Kern","71","290",291984
"G0600310","1960","California","060","Kings","0310","Kings","71","310",49954
"G0600330","1960","California","060","Lake","0330","Lake","71","330",13786
"G0600350","1960","California","060","Lassen","0350","Lassen","71","350",13597
"G0600370","1960","California","060","Los Angeles","0370","Los Angeles","71","370",6038771
"G0600390","1960","California","060","Madera","0390","Madera","71","390",40468
"G0600410","1960","California","060","Marin","0410","Marin","71","410",146820
"G0600430","1960","California","060","Mariposa","0430","Mariposa","71","430",5064
"G0600450","1960","California","060","Mendocino","0450","Mendocino","71","450",51059
"G0600470","1960","California","060","Merced","0470","Merced","71","470",90446
"G0600490","1960","California","060","Modoc","0490","Modoc","71","490",8308
"G0600510","1960","California","060","Mono","0510","Mono","71","510",2213
"G0600530","1960","California","060","Monterey","0530","Monterey","71","530",198351
"G0600550","1960","California","060","Napa","0550","Napa","71","550",65890
"G0600570","1960","California","060","Nevada","0570","Nevada","71","570",20911
"G0600590","1960","California","060","Orange","0590","Orange","71","590",703925
"G0600610","1960","California","060","Placer","0610","Placer","71","610",56998
"G0600630","1960","California","060","Plumas","0630","Plumas","71","630",11620
"G0600650","1960","California","060","Riverside","0650","Riverside","71","650",306191
"G0600670","1960","California","060","Sacramento","0670","Sacramento","71","670",502778
"G0600690","1960","California","060","San Benito","0690","San Benito","71","690",15396
"G0600710","1960","California","060","San Bernardino","0710","San Bernardino","71","710",503591
"G0600730","1960","California","060","San Diego","0730","San Diego","71","730",1033011
"G0600750","1960","California","060","San Francisco","0750","San Francisco","71","750",740316
"G0600770","1960","California","060","San Joaquin","0770","San Joaquin","71","770",249989
"G0600790","1960","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",81044
"G0600810","1960","California","060","San Mateo","0810","San Mateo","71","810",444387
"G0600830","1960","California","060","Santa Barbara","0830","Santa Barbara","71","830",168962
"G0600850","1960","California","060","Santa Clara","0850","Santa Clara","71","850",642315
"G0600870","1960","California","060","Santa Cruz","0870","Santa Cruz","71","870",84219
"G0600890","1960","California","060","Shasta","0890","Shasta","71","890",59468
"G0600910","1960","California","060","Sierra","0910","Sierra","71","910",2247
"G0600930","1960","California","060","Siskiyou","0930","Siskiyou","71","930",32885
"G0600950","1960","California","060","Solano","0950","Solano","71","950",134597
"G0600970","1960","California","060","Sonoma","0970","Sonoma","71","970",147375
"G0600990","1960","California","060","Stanislaus","0990","Stanislaus","71","990",157294
"G0601010","1960","California","060","Sutter","1010","Sutter","71","1010",33380
"G0601030","1960","California","060","Tehama","1030","Tehama","71","1030",25305
"G0601050","1960","California","060","Trinity","1050","Trinity","71","1050",9706
"G0601070","1960","California","060","Tulare","1070","Tulare","71","1070",168403
"G0601090","1960","California","060","Tuolumne","1090","Tuolumne","71","1090",14404
"G0601110","1960","California","060","Ventura","1110","Ventura","71","1110",199138
"G0601130","1960","California","060","Yolo","1130","Yolo","71","1130",65727
"G0601150","1960","California","060","Yuba","1150","Yuba","71","1150",33859
"G0800010","1960","Colorado","080","Adams","0010","Adams","62","10",120296
"G0800030","1960","Colorado","080","Alamosa","0030","Alamosa","62","30",10000
"G0800050","1960","Colorado","080","Arapahoe","0050","Arapahoe","62","50",113426
"G0800070","1960","Colorado","080","Archuleta","0070","Archuleta","62","70",2629
"G0800090","1960","Colorado","080","Baca","0090","Baca","62","90",6310
"G0800110","1960","Colorado","080","Bent","0110","Bent","62","110",7419
"G0800130","1960","Colorado","080","Boulder","0130","Boulder","62","130",74254
"G0800150","1960","Colorado","080","Chaffee","0150","Chaffee","62","150",8298
"G0800170","1960","Colorado","080","Cheyenne","0170","Cheyenne","62","170",2789
"G0800190","1960","Colorado","080","Clear Creek","0190","Clear Creek","62","190",2793
"G0800210","1960","Colorado","080","Conejos","0210","Conejos","62","210",8428
"G0800230","1960","Colorado","080","Costilla","0230","Costilla","62","230",4219
"G0800250","1960","Colorado","080","Crowley","0250","Crowley","62","250",3978
"G0800270","1960","Colorado","080","Custer","0270","Custer","62","270",1305
"G0800290","1960","Colorado","080","Delta","0290","Delta","62","290",15602
"G0800310","1960","Colorado","080","Denver","0310","Denver","62","310",493887
"G0800330","1960","Colorado","080","Dolores","0330","Dolores","62","330",2196
